300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
300,0,144,0,0,1
300,0,144,1,1,1
300,1,108,0,1,0
123,0,17,0,1,1
34,1,90,0,1,0
300,0,144,1,0,0
300,1,144,0,1,0
